pieceVSA_EState6,pieceBCUT2D_MRHI,ex1EState_VSA8,pieceEState_VSA6,piecePEOE_VSA10,piecefr_C_O_noCOO,pieceSlogP_VSA5,pieceBertzCT,pieceEState_VSA1,ex1qed,preChi1n,pieceSMR_VSA5,ex2MolLogP,ex1BCUT2D_LOGPHI,pieceVSA_EState4,preChi4v,piecePEOE_VSA7,ex2Chi4n,pieceFpDensityMorgan2,ex1SPS.1,preMinEStateIndex,pieceEState_VSA2,pieceBCUT2D_CHGLO,pieceHallKierAlpha,pieceBCUT2D_LOGPHI,pieceMaxEStateIndex,pieceBCUT2D_MWHI,ex1PEOE_VSA8,ex2MinAbsEStateIndex,preChi4n,pieceChi4n,pieceSlogP_VSA3,preSMR_VSA6,ex1EState_VSA4,R,pieceVSA_EState3,ex2BCUT2D_LOGPHI,pieceVSA_EState9,pieceVSA_EState2,pieceMinAbsEStateIndex,pieceChi4v,pieceNumHeteroatoms,pieceChi3v,preKappa3,polyol_ratio,preMaxPartialCharge,pieceKappa3,Diisocyanate_ratio,pieceMinEStateIndex,piecePEOE_VSA14,pieceEState_VSA3,pieceVSA_EState5,piecePEOE_VSA8,pieceBCUT2D_CHGHI,Hs_wt,extender2_ratio,prePEOE_VSA8,extender1_ratio,self_time,self_tem
152.0982826,8.763801476,0,35.68313992,0,16,1962.180397,22872.68676,60.93240071,0.64279436,73.39232993,1936.037454,2.6362,2.37019386,32.73544128,18.76330769,2293.308765,1.65728322,0.051198257,777,-0.504299918,36.18668707,-2.105553349,-32.18,2.920090419,13.12523903,33.11475722,21.1657395,0.815958023,18.76330769,93.47557638,774.7376593,418.6859034,11.37477255,1,62.24919358,2.109394655,6.319787548,203.0609117,0.255926084,95.40643115,190,151.8499791,128.4538145,0.25,0.411111954,638.3039723,0.5,-0.497740344,97.11908778,410.2915605,0,1987.560986,2.866332286,0.2724336,0,392.7349351,0.25,8,60
137.2649497,8.763561101,0,7.047671983,13.21376393,16,1962.180397,22463.61594,79.21212092,0.44273582,73.39232993,1926.246487,2.6362,2.183066881,31.19617294,18.76330769,2244.777828,1.65728322,0.056043956,777,-0.504299918,31.30710747,-2.105553349,-30.62,2.907054723,13.12510916,33.1147145,11.50570721,0.815958023,18.76330769,92.34260444,788.9482482,418.6859034,11.50570721,1,53.43353247,2.109394655,5.944622371,199.9020528,0.199604592,93.9964112,190,150.1144667,128.4538145,0.25,0.411111954,649.7599264,0.5,-0.552214548,97.30546446,422.5307031,1.094959066,1970.853282,2.858182231,0.246639069,0,392.7349351,0.25,8,60
136.6827811,8.76324488,0,14.09534397,0,16,1962.180397,22438.11175,60.93240071,0.320455409,73.39232993,1926.246487,2.6362,2.142830747,31.41281427,18.76330769,2244.777828,1.65728322,0.053964758,777,-0.504299918,36.18668707,-2.105553349,-30.62,2.903954831,13.12509457,33.11472633,11.75357678,0.815958023,18.76330769,92.22875462,774.7376593,418.6859034,0,1,61.95066607,2.109394655,5.959114724,200.2782918,0.255921448,93.62901451,190,149.5390146,128.4538145,0.25,0.411111954,647.8654639,0.5,-0.500089638,97.11908778,410.6703647,0.632809501,1966.395247,2.855634952,0.238022088,0,392.7349351,0.25,8,60
132.8806986,8.763896536,9.473725908,38.36081224,12.08368166,18,1962.180397,22913.79885,97.01692197,0.357058394,73.39232993,1938.330169,2.6362,2.21934945,30.6899341,18.76330769,2244.777828,1.65728322,0.062091503,777,-0.504299918,48.84392919,-2.183989162,-31.68,2.913821971,13.30464662,33.11471628,11.50570721,0.815958023,18.76330769,93.1097644,793.8004596,418.6859034,0,1,61.39589422,2.109394655,7.995807214,227.3928742,0.061942098,95.40705906,194,151.5310273,128.4538145,0.25,0.411111954,646.2133179,0.5,-1.066529516,109.0576984,398.9167879,-1.234837866,1977.900954,2.870327981,0.277684719,0,392.7349351,0.25,8,60
151.7283111,8.763797628,0,31.31314026,11.49902367,16,1962.180397,22863.59156,79.21212092,0.810579141,73.39232993,1936.037454,2.6362,2.37515263,31.11145162,18.76330769,2293.308765,1.65728322,0.062091503,777,-0.504299918,18.09334354,-2.105553349,-32.18,2.921150841,13.12522876,33.11475728,9.790966951,0.815958023,18.76330769,93.30362847,779.4745223,418.6859034,9.790966951,1,53.49376014,2.109394655,5.97328639,202.589266,0.255931759,95.23448324,190,151.6180982,128.4538145,0.25,0.411111954,638.3039723,0.5,-0.617673126,97.30546446,422.5240195,0.7759046,1969.138542,2.867102861,0.272954111,0,392.7349351,0.25,8,60
137.4462322,8.763387376,0,28.63546794,0,16,1975.022041,22498.22285,79.21212092,0.457314917,73.39232993,1939.08813,2.6362,2.214369426,31.29784499,18.76330769,2257.619471,1.65728322,0.055921053,777,-0.504299918,31.30710747,-2.105553349,-30.62,2.909405494,13.12513401,33.11471459,24.71947114,0.815958023,18.76330769,92.57126955,788.9482482,418.6859034,24.34735046,1,53.49142059,2.109394655,6.27482595,199.903274,0.255924465,94.6925899,190,150.7691673,128.4538145,0.25,0.411111954,651.6547815,0.5,-0.514667368,97.30546446,417.2597571,1.577258771,1970.853282,2.860142515,0.254516882,0,392.7349351,0.25,8,60
132.8806986,8.763896536,9.473725908,38.36081224,12.08368166,18,1962.180397,22913.79885,97.01692197,0.357058394,73.39232993,1938.330169,2.6362,2.21934945,30.6899341,18.76330769,2244.777828,1.65728322,0.062091503,777,-0.504299918,48.84392919,-2.183989162,-31.68,2.913821971,13.30464662,33.11471628,11.50570721,0.815958023,18.76330769,93.1097644,793.8004596,418.6859034,0,1,61.39589422,2.109394655,7.995807214,227.3928742,0.061942098,95.40705906,194,151.5310273,128.4538145,0.25,0.411111954,646.2133179,0.5,-1.066529516,109.0576984,398.9167879,-1.234837866,1977.900954,2.870327981,0.277684719,0,392.7349351,0.25,8,60
150.2592293,8.764212334,0,79.8440768,26.42752786,18,1982.896375,23755.82078,91.1507315,0.495409576,73.39232993,1936.037454,2.6362,2.402742668,31.25665137,18.76330769,2269.043296,1.65728322,0.064655172,777,-0.504299918,68.86153831,-2.117735308,-33.24,2.929817128,13.47024962,33.11475928,9.790966951,0.815958023,18.76330769,94.08661353,798.4219741,418.6859034,0,1,53.25742847,2.109394655,5.398029858,228.5542713,0.212357642,96.42740927,194,152.9144126,128.4538145,0.25,0.411111954,639.3626786,0.5,-0.727566284,109.244075,414.2090808,-1.26956999,1969.138542,2.87921159,0.309149895,0,392.7349351,0.25,8,60
151.1252264,8.764217024,0,31.31314026,0,18,2008.579661,23836.57967,91.1507315,0.26439453,73.39232993,1961.72074,2.6362,2.403378968,31.70695458,18.76330769,2294.726583,1.65728322,0.063304721,777,-0.504299918,57.73463532,-2.11435125,-33.24,2.93430592,13.47104736,33.11475979,23.00473088,0.815958023,18.76330769,94.61687029,798.4219741,418.6859034,9.790966951,1,53.40007342,2.109394655,5.535500335,228.5792045,0.101669564,96.95766603,194,153.8250962,128.4538145,0.25,0.411111954,643.1100243,0.5,-0.608071663,109.244075,451.0192703,-1.021113408,1969.138542,2.883076313,0.322284768,0,392.7349351,0.25,8,60
151.6837947,8.764221735,0,31.31314026,0,18,2034.262948,23917.36709,91.1507315,0.155490595,73.39232993,1987.404027,2.6362,2.403708222,31.98404689,18.76330769,2320.409869,1.65728322,0.064102564,777,-0.504299918,51.12775336,-2.112499075,-33.24,2.938878607,13.46673414,33.11476031,23.00473088,0.815958023,18.76330769,95.32397707,798.4219741,418.6859034,61.15753993,1,53.48032385,2.109394655,5.621566843,228.5725871,0.22136303,97.66477281,194,154.8250962,128.4538145,0.25,0.411111954,646.859166,0.5,-0.547141907,109.244075,457.6261523,-0.891153633,1969.138542,2.886982047,0.334929503,0,392.7349351,0.25,8,60
