,preNumRotatableBonds,ex1SlogP_VSA5,pieceBCUT2D_MWLOW,pieceMinPartialCharge,ex1Chi2v,ex2PEOE_VSA7,pieceVSA_EState3,R,pieceSlogP_VSA5,ex1Chi4v,pieceMolLogP,pieceVSA_EState10,piecePEOE_VSA14,ex2HallKierAlpha,ex2EState_VSA7,ex1Kappa3,piecePEOE_VSA8,Diisocyanate_ratio,pieceFpDensityMorgan3,ex1HallKierAlpha,pieceBCUT2D_MRHI,piecePEOE_VSA10,pieceMaxAbsPartialCharge,piecePEOE_VSA2,ex2PEOE_VSA14,pieceMaxEStateIndex,pieceEState_VSA9,pieceFpDensityMorgan1,preBalabanJ,ex1HeavyAtomMolWt,piecePEOE_VSA7,pieceqed,extender2_ratio,pieceVSA_EState7,pieceChi4v,ex2Chi4v,ex2Kappa3,ex1EState_VSA6,pieceVSA_EState9,pieceMinAbsEStateIndex,pieceEState_VSA5,polyol_ratio,preqed,ex1VSA_EState10,pieceMinEStateIndex,ex1EState_VSA8,Hs_wt,pieceBCUT2D_MWHI,mac_rate,pieceVSA_EState1,extender1_ratio,pieceHallKierAlpha,lg_Eb
115,151,11.25737949,9.623392313,-0.452879054,2.423240297,0,51.13031718,1,2193.565062,0.991658392,93.43432,0,97.42971558,2.024675325,59.99110118,1.620702485,1979.803636,0.5,0.12585034,-1.36,8.763498781,13.21376393,0.452879054,10.11132579,81.28428338,13.59851765,734.2137578,0.048752834,1.078158958,158.096,2109.701574,0.016356891,0.05,300.0751998,104.9092547,5.701318992,8.024675325,6.9237372,5.852998211,0.002077375,14.21959508,0.25,0.032442693,0,-0.604588918,9.967957042,0.231,33.11471118,500,902.7418031,0.2,-17.7,2.8048411
116,113,0,10.04348923,-0.446560125,7.494866659,0,61.31894697,0.995,1300.669234,4.653627617,80.4783,0,97.11908778,4.933766234,159.1914363,8.933766234,105.0935244,0.5,0.088201604,4.933766234,8.766792464,63.55424176,0.446560125,53.16788604,152.6267008,13.05652094,852.6353317,0.033218786,0.866494176,532.156,1546.159553,0.007283329,0,-36.18887122,80.31216362,4.653627617,8.933766234,0,8.623181787,0.022208265,43.17559191,0.192,0.029823831,4.022623457,-0.615390192,0,0.298,33.1170345,50,1091.593726,0.31,-29.56,2.810232518
117,109,40.03367647,9.623298035,-0.45263353,11.34687813,6.066367068,66.44081686,0.455,1336.228975,7.668762652,72.23806,0,121.6162992,-1.185324675,0,8.153458138,152.0725687,0.313,0.148911798,-1.185324675,6.073787105,89.98176962,0.45263353,94.65769203,160.6013335,14.277039,871.5827835,0.052691867,1.410640002,730.666,1529.461955,0.015742519,0,-44.02377564,80.1563038,7.668762652,8.153458138,44.46967229,2.566242318,0.020915939,38.74601636,0.375,0.044682918,3.350073163,-1.146724225,47.02234454,0.199,17.09127928,50,1124.081853,0.313,-29.74,2.812913357
118,153,0,10.039547,-0.452633642,4.64193497,0,128.5733147,1,1951.053495,1.949454555,105.4642,0,97.49184114,1.164675325,0,3.915271962,1940.92513,0.5,0.071428571,1.164675325,6.030988038,75.25925896,0.452633642,85.06861766,93.03275534,12.75086334,729.4768949,0.02967033,0.661731168,508.476,2196.543814,0.012430722,0,266.1440731,91.73514733,1.949454555,3.915271962,0,2.658250133,0.256629908,14.21959508,0.25,0.023550178,2.647891156,-1.996735243,0,0.254,16.95646635,500,903.3101218,0.25,-30.08,2.819543936
119,56,11.12690298,10.03986401,-0.465675003,7.423290371,0,60.74566068,0.5,1138.60049,2.78848856,79.3338,26.88240168,335.8912993,3.253766234,12.13273414,5.183246163,361.9263893,0.33,0.174757282,3.253766234,6.367667597,0,0.465675003,244.9493734,217.853174,13.23760724,259.5625925,0.05631068,0.799253563,671.049,1188.630524,0.007283329,0,76.84423323,53.30510717,2.78848856,5.183246163,137.6036403,3.077680192,0.021317251,14.09534397,0.33,0.013800756,15.84936714,-0.946326062,24.26546827,0.341,35.49907668,100,238.9005239,0.33,-46.32,2.820857989
120,96,20.71597735,9.623486498,-0.465537514,8.505601604,0,44.4999941,1,1966.906772,4.215403042,75.8672,0,718.2995911,-0.195324675,48.53093655,4.67221504,1083.397955,0.5,0.126964933,-0.195324675,8.767492998,0,0.465537514,479.4537184,147.5413037,13.33193204,525.7917879,0.043530834,1.269386546,636.7,979.8836018,0.006415897,0,46.55167088,90.45259656,4.215403042,4.67221504,21.58779595,7.941001346,0.000836722,105.9261235,0.251,0.019008178,2.322445244,-1.000673978,0,0.272,33.11705852,100,576.7537964,0.249,-66.72,2.824776462
121,78,0,10.03992152,-0.489899187,5.265554816,0,53.72811148,0.5,999.0571541,1.521000579,88.4622,13.48737066,97.30546446,3.253766234,12.13273414,4.58165462,963.0068748,0.33,0.180811808,0.144675325,6.346087879,37.92655152,0.489899187,69.11825185,217.853174,13.236342,397.4140531,0.05904059,0.70532805,524.522,1287.366497,0.012430726,0,132.8257744,55.31688937,2.78848856,5.183246163,38.40330522,2.904865124,0.012331933,7.109797541,0.33,0.023613693,3.472207822,-0.627475634,0,0.341,35.49684098,100,460.9965991,0.33,-28.92,2.827369273
122,78,20.26829602,10.04358876,-0.452633642,3.920226166,0,44.30855093,1,1028.466843,2.152174669,85.4968,0,97.49184114,0.664675325,0,7.039745346,985.581219,0.5,0.125703565,0.664675325,6.053414072,0,0.452633642,105.0382366,90.11512527,12.71288873,374.2121734,0.05065666,0.70532805,484.505,1261.115519,0.009560247,0,131.2115791,53.28130082,2.152174669,7.039745346,38.40330522,2.654838775,0.198578301,14.21959508,0.2,0.023613693,3.397069318,-0.655569719,23.83228386,0.451,16.73611026,100,464.3468396,0.3,-28.08,2.840733235
123,73,22.25380597,10.02777742,-0.475488373,11.25911137,0,54.02100284,1.05,952.899578,4.728929524,83.5322,3.031895483,109.2482576,0.794675325,0,6.620123361,902.2534605,0.512,0.159533074,0.464675325,7.981818666,11.8778279,0.475488373,85.06861766,63.5582345,13.07860436,350.5278586,0.062256809,0.711696497,640.735,1197.886982,0.009560196,0.098,119.7411694,53.05755817,0,3.383371592,0,2.653685209,0.195653735,48.87026796,0.244,0.023635539,7.693242695,-2.706000403,48.53093655,0.455,32.16781172,100,435.0640553,0.146,-27.95,2.84509804
124,60,11.25737949,9.623370402,-0.452879054,2.423240297,0,59.97761353,1,965.7900422,0.991658392,55.79992,0,97.2433389,2.673766234,137.6036403,1.620702485,136.7934235,0.5,0.27047619,-1.36,5.917920491,63.55424176,0.452879054,10.11132579,203.1595834,13.73361088,459.4757065,0.095238095,1.444577082,158.096,919.0336661,0.023338773,0.188,-8.559243264,62.38099932,2.498972601,5.348646587,6.9237372,2.960983736,0.002570822,7.109797541,0.25,0.041119625,0,-0.650792856,9.967957042,0.384,16.84466151,100,584.9932862,0.063,-17.76,2.860936621
