,ex2PEOE_VSA9,R,ex2BCUT2D_CHGHI,pieceSMR_VSA6,pieceFpDensityMorgan2,preBCUT2D_MWHI,pieceBCUT2D_MRLOW,polyol_MW,piecePEOE_VSA10,pieceVSA_EState6,pieceVSA_EState9,preSlogP_VSA5,piecePEOE_VSA7,ex2MinAbsEStateIndex,ex1PEOE_VSA2,ex1VSA_EState4,piece_mw,ex2BCUT2D_LOGPHI,pieceHallKierAlpha,pieceSPS,polyol_ratio,ex2FpDensityMorgan3,ex1VSA_EState7,mac_rate,pieceBCUT2D_MWHI,extender1_ratio,pieceMinAbsEStateIndex,pieceMaxAbsEStateIndex,ex2BCUT2D_LOGPLOW,Diisocyanate_ratio,Hs_wt,pieceqed,pieceBCUT2D_MRHI,ex2FpDensityMorgan1,extender2_ratio,pieceBalabanJ,pieceEState_VSA6,pieceMaxPartialCharge,pieceMinEStateIndex,piecePEOE_VSA9,ex2PEOE_VSA7,ex2MolLogP,pieceNumAliphaticHeterocycles,ex1PEOE_VSA9,pieceVSA_EState5,pieceVSA_EState2,ex2MaxPartialCharge,pieceBertzCT,ex2TPSA,lg_ts
28,0,0.001,1.768324594,786.4039371,0.054711246,16.76624652,0.047261521,2000,0,117.8423482,2.606470194,279.0866709,1644.353154,0.195,0,0,9324.914,1.802227409,-57.01,10.76291793,0.183,1.333333333,1.4375,100,17.01125956,0.293,0.097452326,12.64242427,-1.849294283,0.001,0.067,0.009560247,6.048924909,0.833333333,0,0.229214567,194.1237462,0.507756147,-0.755355489,701.3353194,12.84164325,-0.2488,0,0,0,742.238128,0.043137008,20839.2473,40.46,1.580924976
29,0,1,2.043233864,692.760874,0.087581699,16.6093616,-0.145617461,2000,13.21376393,-0.570732411,4.41254911,462.2991569,1657.701745,0.06000189,0,0,10919.595,1.991367908,-54.24,10.91895425,0.25,2.833333333,0,50,16.90928385,0.0625,0.007268965,12.95254926,-2.187983653,0.5,0.198,0.012461349,6.109109545,1.666666667,0.1875,1.811198842,6.9237372,0.414391281,-0.868276353,549.3770342,6.9237372,-0.80468,0,13.21376393,-27.54071892,1197.527083,0.277448476,21905.7272,92,1.579783597
30,0,1,2.383701318,952.1483318,0.102803738,16.56312202,0.073952542,1000,0,2.586334685,3.333179688,295.3577947,1516.085572,0.278935185,0,12.43092593,7639.105,2.4413649,-14.28,20.16448598,0.15,2.25,3.444166667,100,16.7143235,0.35,0.005395477,13.72489202,-2.45018654,0.5,0.56,0.019858038,5.802944018,1.25,0,0.19580974,14.09534397,0.406842028,-0.309791099,66.06881965,36.63720221,1.4888,0,0,11.01014586,204.7730425,0.004952821,12077.36879,52.04,1.575187845
31,6.606881965,1,2.278399076,979.1964826,0.069271758,16.56312202,0.01888606,1000,26.42752786,2.319204658,2.83116164,295.3577947,1595.147094,0.038126629,0,0,8045.397,2.350109214,-17.2,20.06749556,0.294,1.653846154,8.550473903,24,16.78649535,0.206,0.001697703,12.83369477,-2.39218665,0.5,0.414,0.015272342,5.788767274,0.769230769,0,0.176948796,0,0.40974528,-0.582649916,80.28841473,69.6232067,1.8886,0,6.606881965,12.85340759,252.2052897,0.408962365,12929.47794,117.12,1.56937391
32,6.606881965,1,2.278399076,979.1964826,0.069271758,16.56312202,0.01888606,1000,26.42752786,2.319204658,2.83116164,295.3577947,1595.147094,0.038126629,0,0,8045.397,2.350109214,-17.2,20.06749556,0.294,1.653846154,8.550473903,24,16.78649535,0.206,0.001697703,12.83369477,-2.39218665,0.5,0.414,0.015272342,5.788767274,0.769230769,0,0.176948796,0,0.40974528,-0.582649916,80.28841473,69.6232067,1.8886,0,6.606881965,12.85340759,252.2052897,0.408962365,12929.47794,117.12,1.56937391
33,0,1,2.043233864,692.760874,0.087581699,16.6093616,-0.145617461,2000,13.21376393,-0.570732411,4.41254911,462.2991569,1657.701745,0.06000189,0,0,10919.595,1.991367908,-54.24,10.91895425,0.25,2.833333333,0,50,16.90928385,0,0.007268965,12.95254926,-2.187983653,0.5,0.202,0.012461349,6.109109545,1.666666667,0.25,1.811198842,6.9237372,0.414391281,-0.868276353,549.3770342,6.9237372,-0.80468,0,13.21376393,-27.54071892,1197.527083,0.277448476,21905.7272,92,1.568201724
34,11.42337001,1,1.937313944,1018.464388,0.10805501,16.56292422,0.060610271,1000,0,-0.875980729,2.747073556,259.8503584,1167.349542,0.409722222,0,1.06537037,7296.355,1.873887988,-15.6,17.33202358,0.17,1.666666667,0.409722222,100,16.73545106,0.33,0.005033396,13.18280532,-1.993819371,0.5,0.475,0.015272463,6.032804107,1.111111111,0,0.408464113,0,0.408646384,-0.566239457,80.28841473,13.8474744,1.0767,0,11.42337001,0,222.3832872,0.05966748,11791.50732,65.18,1.564666064
35,0,1.045,1.768324594,786.4039371,0.052247874,16.62509059,-0.148962952,2000,0,112.3240353,2.547399546,343.2948871,1002.270992,0.195,0,0,11646.809,1.802227409,-76.16,10.71931956,0.137,1.333333333,1.4375,50,16.98937927,0.353,0.000705614,12.6511005,-1.849294283,0.512,0.369,0.007283387,6.257409654,0.833333333,0,0.237355186,242.6546827,0.418877773,-1.026334435,701.3353194,12.84164325,-0.2488,0,0,-51.98059137,1426.74459,0.043137008,29187.86335,40.46,1.56014584
36,0,1,1.768324594,686.3344576,0.157281553,16.62864282,-0.11635367,1000,63.55424176,-2.156747809,2.71031598,204.6946225,883.6412949,0.195,4.794537184,6.092594482,7418.969,1.802227409,-16.2,23.08543689,0.25,1.333333333,0.313935185,100,16.85048435,0.188,0.003288869,13.73281199,-1.849294283,0.5,0.373,0.021268238,5.879350986,0.833333333,0.063,0.46315663,41.5424232,0.407196152,-0.650829228,1114.462351,12.84164325,-0.2488,0,0,-0.058638828,230.6644675,0.043137008,14626.88738,40.46,1.560026249
37,13.21376393,1,2.038585866,992.0381258,0.091891892,16.56312202,0.076093291,1000,52.85505572,16.78794269,2.83022875,295.3577947,1478.154487,0.049856561,0,1.674025941,7925.117,2.049638937,-18.76,18.43963964,0.25,1.772727273,-1.212667914,24,16.76223878,0.25,0.019834405,12.76874021,-2.255658604,0.5,0.456,0.021596918,5.787780495,0.909090909,0,0.19444486,0,0.407020091,-0.665337772,80.28841473,11.12690298,0.1236,0,13.21376393,10.44124273,251.1128456,0.406978764,12737.98699,117.12,1.559906625
38,0,1,1.768324594,786.4039371,0.052247874,16.62509059,-0.148962952,2000,0,112.3240353,2.547399546,343.2948871,1002.270992,0.195,0,0,11646.809,1.802227409,-76.16,10.71931956,0.135,1.333333333,1.4375,50,16.98937927,0.365,0.000705614,12.6511005,-1.849294283,0.5,0.369,0.007283387,6.257409654,0.833333333,0,0.237355186,242.6546827,0.418877773,-1.026334435,701.3353194,12.84164325,-0.2488,0,0,-51.98059137,1426.74459,0.043137008,29187.86335,40.46,1.55291145
39,26.42752786,1,2.479234956,1957.145808,0.074154853,16.58146243,-0.28343403,2000,24.7127876,16.88799328,7.448390729,487.9824433,2474.478598,0.055543981,0,0,13181.035,2.19925694,-19.24,16.00436205,0.14,1.533333333,0,50,33.1147576,0.16,0.048002476,14.62069612,-2.476188415,0.5,0.435,0.005561095,8.763763776,1,0.2,0.21502749,28.51153315,0.412318143,-2.468538288,94.00509423,13.8474744,-0.9164,0,0,8.826341085,245.3123561,0.327819795,19322.85038,93.06,1.551449998
