No.,Ts/Mpa,Eb/%,E
1215,23.06858484,451.5095712,0.884887138
2341,15.50098828,404.1355063,0.884789612
825,9.51075085,891.3105104,0.884448155
1694,25.18459256,333.5156814,0.884445037
1697,25.18459256,333.5156814,0.884445037
1386,23.24594837,400.8436155,0.883918304
119,20.87171467,413.8450291,0.883660605
1079,20.41612312,475.5790917,0.883634209
1048,19.42333501,399.4840682,0.883575511
1843,24.67195829,289.0811022,0.883126706
1045,19.58295506,324.4722455,0.883009535
1682,21.51859926,453.1278615,0.882822018
1240,19.65577142,724.5892838,0.882682758
1066,20.23711817,333.4005869,0.882615259
99,24.15364301,368.8666446,0.882557785
1218,23.65032618,602.1831378,0.88241664
1692,22.2666358,441.0625555,0.882107449
1370,21.13808416,463.9839893,0.881600468
1548,24.76867278,370.2305526,0.881470748
1055,20.98009034,298.0391093,0.881404549
1716,21.9804746,523.7375578,0.88126599
1848,23.35223681,381.1966042,0.881250187
1714,23.52208765,374.5833801,0.881070701
1717,23.52208765,374.5833801,0.881070701
805,4.292885673,731.8497928,0.880723962
591,16.38594121,348.3706362,0.88063251
2343,15.39957225,372.2139494,0.88061622
1842,22.99738354,289.8876385,0.880425678
893,19.01218181,346.7740087,0.880361284
885,15.09378,345.3363614,0.880343669
515,11.59492846,361.6470137,0.880341572
120,20.98971421,434.6188235,0.880177527
2345,15.49294963,383.7265195,0.880058598
1225,22.48610781,443.0474661,0.880056471
491,15.17731327,409.7196881,0.879354566
1684,24.82208571,354.6103349,0.879261209
1687,24.82208571,354.6103349,0.879261209
413,21.85510465,309.7583893,0.878876299
883,18.41885133,297.6420765,0.878467887
1059,21.59518945,413.732708,0.878434753
1534,20.23018025,304.4725987,0.878042373
1537,20.23018025,304.4725987,0.878042373
581,12.56314842,345.8692125,0.877946895
485,12.64977236,362.8647785,0.877463183
1712,21.21410081,444.1985844,0.877329649
2321,19.09816633,372.3547358,0.876826648
915,17.33956681,383.406604,0.876791724
1228,20.61811066,604.0043266,0.876776458
501,17.24723786,416.6446975,0.876725082
1532,20.25464368,278.3781454,0.876707875
1220,22.23758088,563.8952045,0.876626533
2351,19.81392957,402.4619142,0.876622203
108,24.31309894,340.7022882,0.876492232
1528,22.27241826,381.9368751,0.876412724
438,19.32522507,387.7765788,0.876367483
679,12.509359,984.5869563,0.876045313
1202,18.20996506,461.9722032,0.875748659
680,12.76474986,938.1093035,0.87565895
2331,19.41831599,372.5932336,0.875294785
1378,22.09177296,385.1423668,0.875286362
1858,23.03193789,382.8054161,0.875223344
403,20.82390167,273.8594734,0.875221851
1872,21.05334548,354.8471475,0.874944814
1846,20.81869227,357.8309798,0.874924692
481,11.78706047,371.4200205,0.874917478
1543,20.74162527,287.7882389,0.874845254
835,17.21647145,1141.941901,0.874392756
678,12.18784418,815.9055138,0.874312034
1362,21.28414412,291.7301157,0.87380262
908,13.14101156,406.6249799,0.873671676
1373,21.92738418,339.0756123,0.87350169
831,17.37886088,1334.332807,0.873171625
1064,19.45950948,323.8251166,0.873018371
1067,19.45950948,323.8251166,0.873018371
254,19.70662115,328.2265077,0.872866912
257,19.70662115,328.2265077,0.872866912
276,20.89300916,512.6950755,0.872653682
402,19.60013149,272.7129215,0.872645963
1544,20.82191329,316.7874054,0.872617635
1547,20.82191329,316.7874054,0.872617635
246,19.5838471,534.016453,0.872215065
1063,20.31215268,297.6411094,0.872186165
1558,19.94205236,412.1176868,0.871135196
1524,19.70302215,329.1460722,0.871078544
1527,19.70302215,329.1460722,0.871078544
103,20.443144,269.2576648,0.871033917
1686,22.03424884,552.5961362,0.870919821
256,19.34121019,495.3017379,0.870832782
820,13.20772523,804.5963792,0.870802107
645,6.422817442,677.992433,0.870608523
1230,20.88871779,480.9923327,0.87059972
1058,20.19572913,398.4947331,0.87055804
