,preNumRotatableBonds,ex1SlogP_VSA5,pieceBCUT2D_MWLOW,pieceMinPartialCharge,ex1Chi2v,ex2PEOE_VSA7,pieceVSA_EState3,R,pieceSlogP_VSA5,ex1Chi4v,pieceMolLogP,pieceVSA_EState10,piecePEOE_VSA14,ex2HallKierAlpha,ex2EState_VSA7,ex1Kappa3,piecePEOE_VSA8,Diisocyanate_ratio,pieceFpDensityMorgan3,ex1HallKierAlpha,pieceBCUT2D_MRHI,piecePEOE_VSA10,pieceMaxAbsPartialCharge,piecePEOE_VSA2,ex2PEOE_VSA14,pieceMaxEStateIndex,pieceEState_VSA9,pieceFpDensityMorgan1,preBalabanJ,ex1HeavyAtomMolWt,piecePEOE_VSA7,pieceqed,extender2_ratio,pieceVSA_EState7,pieceChi4v,ex2Chi4v,ex2Kappa3,ex1EState_VSA6,pieceVSA_EState9,pieceMinAbsEStateIndex,pieceEState_VSA5,polyol_ratio,preqed,ex1VSA_EState10,pieceMinEStateIndex,ex1EState_VSA8,Hs_wt,pieceBCUT2D_MWHI,mac_rate,pieceVSA_EState1,extender1_ratio,pieceHallKierAlpha,lg_Eb,prexgb
20,153,0.0,10.0377688,-0.449311805,5.580880229,48.2340145,62.24919358,1,1962.180397,3.073846186,116.7972,0,97.11908778,-1.96,24.26546827,3.115617916,1987.560986,0.5,0.078431373,-1.26,8.763801476,0.0,0.449311805,53.16788604,0,13.12523903,710.5294431,0.02832244,0.661731168,236.28,2293.308765,0.00956017,0.0,289.9145173,95.40643115,1.65728322,2.764392361,21.58779595,6.319787548,0.255926084,0.0,0.25,0.023550178,0,-0.497740344,0.0,0.2724336,33.11475722,100,874.3268235,0.25,-32.18,,2.637763
21,153,0.0,10.0377688,-0.452633642,3.79327881,48.2340145,53.43353247,1,1962.180397,1.731480565,114.3154,0,97.30546446,-1.96,24.26546827,6.62,1970.853282,0.5,0.085714286,0.62,8.763561101,13.21376393,0.452633642,69.11825185,0,13.12510916,720.003169,0.030769231,0.661731168,144.176,2244.777828,0.009560173,0.0,288.2223187,93.9964112,1.65728322,2.764392361,21.58779595,5.944622371,0.199604592,28.69759349,0.25,0.023550178,0,-0.552214548,0.0,0.246639069,33.1147145,100,889.6180435,0.25,-30.62,,2.532135
22,153,0.0,10.0377688,-0.449311805,3.121320344,48.2340145,61.95066607,1,1962.180397,0.866025404,113.4414,0,97.11908778,-1.96,24.26546827,4.62,1966.395247,0.5,0.082599119,0.62,8.76324488,0.0,0.449311805,53.16788604,0,13.12509457,710.5294431,0.029735683,0.661731168,116.17,2244.777828,0.007283329,0.0,289.9180829,93.62901451,1.65728322,2.764392361,21.58779595,5.959114724,0.255921448,21.58779595,0.25,0.023550178,0,-0.500089638,0.0,0.238022088,33.11472633,100,874.1928032,0.25,-30.62,,2.637763
23,153,0.0,10.0377688,-0.467461623,5.380625966,48.2340145,61.39589422,1,1962.180397,2.896502341,111.6256,0,109.0576984,-1.96,24.26546827,6.209877378,1977.900954,0.5,0.092592593,-0.44,8.763896536,12.08368166,0.467461623,53.16788604,0,13.30464662,720.003169,0.034858388,0.661731168,252.232,2244.777828,0.007283329,0.0,289.1659134,95.40705906,1.65728322,2.764392361,0.0,7.995807214,0.061942098,35.80739104,0.25,0.023550178,0,-1.066529516,9.473725908,0.277684719,33.11471628,100,884.2592755,0.25,-31.68,,2.574112
24,153,0.0,10.0377688,-0.452633642,5.430611342,48.2340145,53.49376014,1,1962.180397,3.030467294,117.158,0,97.30546446,-1.96,24.26546827,3.115617916,1969.138542,0.5,0.095860566,-1.26,8.763797628,11.49902367,0.452633642,69.11825185,0,13.12522876,720.003169,0.032679739,0.661731168,240.264,2293.308765,0.009560173,0.0,287.9993545,95.23448324,1.65728322,2.764392361,45.85326423,5.97328639,0.255931759,28.69759349,0.25,0.023550178,0,-0.617673126,0.0,0.272954111,33.11475728,100,890.1367469,0.25,-32.18,,2.532135
25,153,12.84164325,10.0377688,-0.452633642,4.500385592,48.2340145,53.49142059,1,1975.022041,2.508618678,114.6036,0,97.30546446,-1.96,24.26546827,8.62,1970.853282,0.5,0.085526316,0.62,8.763387376,0.0,0.452633642,69.11825185,0,13.12513401,720.003169,0.030701754,0.661731168,168.198,2257.619471,0.009560173,0.0,289.7572719,94.6925899,1.65728322,2.764392361,21.58779595,6.27482595,0.255924465,7.109797541,0.25,0.023550178,0,-0.514667368,0.0,0.254516882,33.11471459,100,889.7151423,0.25,-30.62,,2.637763
26,153,0.0,10.0377688,-0.467461623,5.380625966,48.2340145,61.39589422,1,1962.180397,2.896502341,111.6256,0,109.0576984,-1.96,24.26546827,6.209877378,1977.900954,0.5,0.092592593,-0.44,8.763896536,12.08368166,0.467461623,53.16788604,0,13.30464662,720.003169,0.034858388,0.661731168,252.232,2244.777828,0.007283329,0.0,289.1659134,95.40705906,1.65728322,2.764392361,0.0,7.995807214,0.061942098,35.80739104,0.25,0.023550178,0,-1.066529516,9.473725908,0.277684719,33.11471628,100,884.2592755,0.25,-31.68,,2.574112
27,153,20.71597735,10.0377688,-0.458434937,7.091023624,48.2340145,53.25742847,1,1982.896375,4.278651099,115.7632,0,109.244075,-1.96,24.26546827,5.771564545,1969.138542,0.5,0.10237069,-2.0,8.764212334,26.42752786,0.458434937,69.11825185,0,13.47024962,729.4768949,0.033405172,0.661731168,376.326,2269.043296,0.007283331,0.0,287.2613133,96.42740927,1.65728322,2.764392361,48.53093655,5.398029858,0.212357642,28.69759349,0.25,0.023550178,0,-0.727566284,0.0,0.309149895,33.11475928,100,900.6584954,0.25,-33.24,,2.6390045
28,153,46.39926384,10.0377688,-0.462065126,8.505237186,48.2340145,53.40007342,1,2008.579661,4.759432516,116.3396,0,109.244075,-1.96,24.26546827,8.024691358,1969.138542,0.5,0.098712446,-2.0,8.764217024,0.0,0.462065126,69.11825185,0,13.47104736,729.4768949,0.033261803,0.661731168,424.37,2294.726583,0.007283331,0.0,289.507674,96.95766603,1.65728322,2.764392361,24.26546827,5.535500335,0.101669564,28.69759349,0.25,0.023550178,0,-0.608071663,0.0,0.322284768,33.11475979,100,901.1424425,0.25,-33.24,,2.6510937
29,153,72.08255033,10.0377688,-0.462067464,9.919450749,48.2340145,53.48032385,1,2034.262948,5.466539297,116.916,0,109.244075,-1.96,24.26546827,10.50812162,1969.138542,0.5,0.101495726,-2.0,8.764221735,0.0,0.462067464,69.11825185,0,13.46673414,729.4768949,0.033119658,0.661731168,472.414,2320.409869,0.007283331,0.0,293.5834533,97.66477281,1.65728322,2.764392361,24.26546827,5.621566843,0.22136303,28.69759349,0.25,0.023550178,0,-0.547141907,0.0,0.334929503,33.11476031,100,901.3508386,0.25,-33.24,,2.6883316
30,153,0.0,10.04345311,-0.452633642,5.580880229,6.9237372,55.89278234,1,1962.310874,3.073846186,114.59292,0,97.2433389,-1.36,0.0,3.115617916,1986.816743,0.5,0.111597374,-1.26,8.763793393,0.0,0.452633642,73.91278904,0,13.22039417,715.266306,0.041575492,0.661731168,236.28,2251.998487,0.00956017,0.0,286.6871066,94.63033876,1.039015105,1.620702485,21.58779595,6.069471956,0.050559518,7.109797541,0.25,0.023550178,0,-0.69437518,0.0,0.2724336,33.1147568,100,884.2381408,0.25,-31.74,,2.5875967
31,153,0.0,10.04349131,-0.452633642,3.79327881,6.9237372,47.07724206,1,1962.310874,1.731480565,112.11112,0,97.42971558,-1.36,0.0,6.62,1970.109039,0.5,0.104856512,0.62,8.763553439,13.21376393,0.452633642,89.86315485,0,13.22026617,724.7400319,0.039735099,0.661731168,144.176,2203.467551,0.009560179,0.0,284.9948129,93.22031882,1.039015105,1.620702485,21.58779595,5.69430603,0.050559239,35.80739104,0.25,0.023550178,0,-0.694374899,0.0,0.246639069,33.11471408,100,899.5291528,0.25,-30.18,,2.514395
32,153,0.0,10.04348639,-0.452633642,3.121320344,6.9237372,55.59427518,1,1962.310874,0.866025404,111.23712,0,97.2433389,-1.36,0.0,4.62,1965.651004,0.5,0.115044248,0.62,8.763237192,0.0,0.452633642,73.91278904,0,13.22025172,715.266306,0.043141593,0.661731168,116.17,2203.467551,0.007283329,0.0,286.6906518,92.85292212,1.039015105,1.620702485,21.58779595,5.708798067,0.050551704,28.69759349,0.25,0.023550178,0,-0.694367544,0.0,0.238022088,33.11472591,100,884.1040205,0.25,-30.18,,2.5875967
